n_samples,frobenius_error,spectral_error,subspace_error
8.000000000000000000e+00,8.300725156219681367e+01,1.699084559972835251e+01,2.705090709392540789e-14
1.600000000000000000e+01,8.317671217655717442e+01,1.694108471552557660e+01,2.626746935644352094e-14
3.200000000000000000e+01,8.315331127510090425e+01,1.698598315417500970e+01,2.613607032627507951e-14
6.400000000000000000e+01,8.310419649228153105e+01,1.697189699388975370e+01,2.625984172405654369e-14
1.280000000000000000e+02,8.308607305703743862e+01,1.697920948757683135e+01,2.616860258823536666e-14
2.560000000000000000e+02,8.311176860003743627e+01,1.698251542732891650e+01,2.631170008283434287e-14
5.120000000000000000e+02,8.311306052707368508e+01,1.698252067639270990e+01,2.577560070703857836e-14
1.024000000000000000e+03,8.309852220276540891e+01,1.698023780153325646e+01,2.579459755799884482e-14
2.048000000000000000e+03,8.310288585597631084e+01,1.697881765373898943e+01,2.566657615197515205e-14
4.096000000000000000e+03,8.310022414931151502e+01,1.698064258663213266e+01,2.545674137204402471e-14
8.192000000000000000e+03,8.309694324899083995e+01,1.697717955687235047e+01,2.631027059069683925e-14
1.638400000000000000e+04,8.310141114052321143e+01,1.697819118101806524e+01,2.620105477635884600e-14
3.276800000000000000e+04,8.309827825409459479e+01,1.697778354781062760e+01,2.665691174931058210e-14
6.553600000000000000e+04,8.309889542422963871e+01,1.697762612554182127e+01,2.524633401349563066e-14
1.310720000000000000e+05,8.309941829978323824e+01,1.697772477924583612e+01,2.552292504778526046e-14
2.621440000000000000e+05,8.309938320672752354e+01,1.697765123882374994e+01,2.567136825050232847e-14
5.242880000000000000e+05,8.309990895689354318e+01,1.697786247015985950e+01,2.626456131568547902e-14
