n_samples,fro_error
8.000000000000000000e+00,8.115890106838156726e+01
1.600000000000000000e+01,8.111869043328678686e+01
3.200000000000000000e+01,8.110469286354651786e+01
6.400000000000000000e+01,8.113583064720293692e+01
1.280000000000000000e+02,8.113001053088606795e+01
2.560000000000000000e+02,8.113945806503481606e+01
5.120000000000000000e+02,8.113626489061662994e+01
1.024000000000000000e+03,8.113647660278412843e+01
2.048000000000000000e+03,8.113966364218399008e+01
4.096000000000000000e+03,8.114150861241751045e+01
8.192000000000000000e+03,8.114157764929538530e+01
1.638400000000000000e+04,8.113935294998600511e+01
3.276800000000000000e+04,8.114012644409118025e+01
6.553600000000000000e+04,8.113963809894667634e+01
1.310720000000000000e+05,8.113953231543750633e+01
2.621440000000000000e+05,8.114012434289435305e+01
5.242880000000000000e+05,8.113975024005283387e+01
1.048576000000000000e+06,8.114000980958421394e+01
2.097152000000000000e+06,8.113999438130558417e+01
